VEAUX DE BOUCHERIE
COTATION DES VEAUX DE BOUCHERIE ELEVES AU PIS
EN EURO
SEMAINE N° 22 DU 25/05/2026 AU 31/05/2026

Prix "entrée abattoir" HT exprimé en EURO/Kg de carcasse (cinquième quartier compris)
REGIONS;;BLANC;;;;;ROSE TRES CLAIR;;;;;ROSE CLAIR;;;;;ROSE;;;;;ROUGE;;;;
;;E;U;R;O;P;E;U;R;O;P;E;U;R;O;P;E;U;R;O;P;E;U;R;O;P
NORD;;;;;;;;;;;;;;;;;;;;;;;;;;
NORD;Var.;;;;;;;;;;;;;;;;;;;;;;;;;
SUD;;;;;;;;12,57;;;;;11,87;;;;;;;;;;;;;
SUD;Var.;;;;;;;-0,05;;;;;-0,32;;;;;;;;;;;;;
COTATION NATIONALE;;;;;;;;12,57;;;;;11,87;;;;;;;;;;;;;
COTATION NATIONALE;Var.;;;;;;;-0,05;;;;;-0,32;;;;;;;;;;;;;

PRIX MOYEN PONDERE AU 100KILO NET
Cot;Var
1211,600;-24,300
