VEAUX DE BOUCHERIE
COTATION DES VEAUX DE BOUCHERIE NON ELEVES AU PIS
EN EURO
SEMAINE N° 51 DU 16/12/2024 AU 22/12/2024

Prix "entrée abattoir" HT exprimé en EURO/Kg de carcasse (cinquième quartier compris)
REGIONS;;BLANC;;;;;ROSE TRES CLAIR;;;;;ROSE CLAIR;;;;;ROSE;;;;;ROUGE;;;;
;;E;U;R;O;P;E;U;R;O;P;E;U;R;O;P;E;U;R;O;P;E;U;R;O;P
NORD;;;;;;;;;;7,99;;;8,47;7,83;7,71;6,74;;;6,33;6,09;5,35;;;;;4,76
NORD;Var.;;;;;;;;;;;;0;0;0,01;0;;;0,27;0,10;0;;;;;
SUD;;;;;;;;;8,05;7,73;;;8,69;7,95;7,63;6,98;;;7,62;7,01;6,52;;;;6,67;
SUD;Var.;;;;;;;;0,12;0,01;;;0,07;0,05;0;0,08;;;0,16;0,13;0,24;;;;0,54;
COTATION NATIONALE;;;;;;;;;8,05;7,89;;;8,59;7,88;7,68;6,83;;;6,83;6,43;5,82;;;;6,67;4,76
COTATION NATIONALE;Var.;;;;;;;;0,14;0,17;;;0,04;0,02;0;0,03;;;0,11;0,16;0,12;;;;1,36;

PRIX MOYEN PONDERE AU 100KILO NET
Cot;Var
741,400;6,300
