VEAUX DE BOUCHERIE
COTATION DES VEAUX DE BOUCHERIE NON ELEVES AU PIS
EN EURO
SEMAINE N° 3 DU 15/01/2024 AU 21/01/2024

Prix "entrée abattoir" HT exprimé en EURO/Kg de carcasse (cinquième quartier compris)
REGIONS;;BLANC;;;;;ROSE TRES CLAIR;;;;;ROSE CLAIR;;;;;ROSE;;;;;ROUGE;;;;
;;E;U;R;O;P;E;U;R;O;P;E;U;R;O;P;E;U;R;O;P;E;U;R;O;P
NORD;;;;;;;;;;;;;8,25;7,51;7,38;6,42;;5,62;5,60;5,45;5,28;;;;4,85;
NORD;Var.;;;;;;;;;;;;0;0,02;0;0;;;0;0,18;0,03;;;;0;
SUD;;;;;;;;;;7,33;;;8,26;7,53;7,27;6,47;;;6,82;6,53;5,88;;;;;
SUD;Var.;;;;;;;;;-0,06;;;0,02;-0,06;-0,03;0;;;0,10;0,08;0,11;;;;;
COTATION NATIONALE;;;;;;;;;;7,33;;;8,25;7,52;7,34;6,44;;5,62;6,03;5,79;5,46;;;;4,85;
COTATION NATIONALE;Var.;;;;;;;;;-0,06;;;0;-0,01;-0,01;0;;;0,22;0,20;0,08;;;;0;

PRIX MOYEN PONDERE AU 100KILO NET
Cot;Var
705,700;3,900
