VEAUX DE BOUCHERIE
COTATION DES VEAUX DE BOUCHERIE NON ELEVES AU PIS
EN EURO
SEMAINE N° 4 DU 20/01/2025 AU 26/01/2025

Prix "entrée abattoir" HT exprimé en EURO/Kg de carcasse (cinquième quartier compris)
REGIONS;;BLANC;;;;;ROSE TRES CLAIR;;;;;ROSE CLAIR;;;;;ROSE;;;;;ROUGE;;;;
;;E;U;R;O;P;E;U;R;O;P;E;U;R;O;P;E;U;R;O;P;E;U;R;O;P
NORD;;;;;;;;;8,01;;6,94;;8,47;7,85;7,72;6,78;;;6,33;6,12;5,73;;;;4,75;4,68
NORD;Var.;;;;;;;;0;;;;0;0;0;0;;;0;0;0;;;;;
SUD;;;;;;;;;;;;;8,64;7,99;7,62;7,00;;8,10;7,39;6,98;6,37;;;;;
SUD;Var.;;;;;;;;;;;;-0,18;-0,01;0,03;0,02;;;-0,09;0,01;-0,05;;;;;
COTATION NATIONALE;;;;;;;;;8,01;;6,94;;8,55;7,91;7,68;6,87;;8,10;6,65;6,36;5,95;;;;4,75;4,68
COTATION NATIONALE;Var.;;;;;;;;-0,08;;;;-0,07;-0,01;0,01;0,02;;;-0,08;-0,05;-0,01;;;;;

PRIX MOYEN PONDERE AU 100KILO NET
Cot;Var
741,800;-4,900
