GROS BOVINS MAIGRES
COTATIONS DES BOVINS DESTINES A L'ENGRAISSEMENT
EN EURO
SEMAINE N° 37 DU 09/09/2024 AU 15/09/2024

EN EURO/KG VIF
RACES;;;LIMOUSINS;;;;CHAROLAIS;;;;;;;CROISES;;;;;;;BLOND D'AQUITAINE;;;;;;SALERS;;;;;;;AUBRAC/GASCONS
;;SEXE;M;M;M;F;M;M;M;M;M;F;F;M;M;M;M;M;F;F;M;M;M;M;F;F;M;M;M;M;M;F;F;M;M;M;M;M;F;F
;;AGE;*6/12;*6/12;*6/12;*6/12;*6/12;*6/12;*6/12;*12/24;*12/24;*6/12;*12/24;*6/12;*6/12;*6/12;*12/24;*12/24;*6/12;*12/24;*6/12;*6/12;*6/12;*12/24;*6/12;*12/24;*6/12;*6/12;*6/12;*12/24;*12/24;*6/12;*12/24;*6/12;*6/12;*6/12;*12/24;*12/24;*6/12;*12/24
LIMOGES;DEMANDE RÉGULIÈRE, COURS EN HAUSSE.;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMOGES;DEMANDE RÉGULIÈRE, COURS EN HAUSSE.;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMOGES;DEMANDE RÉGULIÈRE, COURS EN HAUSSE.;U;4,15;4,18;4,15;3,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMOGES;DEMANDE RÉGULIÈRE, COURS EN HAUSSE.;U;0,10;0,05;0,05;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMOGES;DEMANDE RÉGULIÈRE, COURS EN HAUSSE.;R;3,71;3,75;3,70;3,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMOGES;DEMANDE RÉGULIÈRE, COURS EN HAUSSE.;R;0,10;0,05;0,05;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMOGES;DEMANDE RÉGULIÈRE, COURS EN HAUSSE.;tonnage;250,00;300,00;350,00;270,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLERMONT-FERRAND;MARCHÉ STABLE ET ACTIF, COURS RECONDUITS.;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLERMONT-FERRAND;MARCHÉ STABLE ET ACTIF, COURS RECONDUITS.;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLERMONT-FERRAND;MARCHÉ STABLE ET ACTIF, COURS RECONDUITS.;U;;;;;;;;;;;;;3,73;3,77;;;3,50;;;;;;;;;;;;;;;;3,80;3,80;;;;;
CLERMONT-FERRAND;MARCHÉ STABLE ET ACTIF, COURS RECONDUITS.;U;;;;;;;;;;;;;0;0;;;0;;;;;;;;;;;;;;;;0;0;;;;;
CLERMONT-FERRAND;MARCHÉ STABLE ET ACTIF, COURS RECONDUITS.;R;;;;;;;;;;;;;3,56;3,61;;;3,30;;;;;;;;3,20;3,20;3,25;;;;;;3,55;3,60;;;;;
CLERMONT-FERRAND;MARCHÉ STABLE ET ACTIF, COURS RECONDUITS.;R;;;;;;;;;;;;;0;0;;;0;;;;;;;;0;0;0;;;;;;0;0;;;;;
CLERMONT-FERRAND;MARCHÉ STABLE ET ACTIF, COURS RECONDUITS.;tonnage;;;;;;;;;;;;300,00;350,00;400,00;450,00;500,00;320,00;;;;;;;;300,00;350,00;400,00;450,00;500,00;320,00;400,00;300,00;350,00;400,00;450,00;;;;
DIJON;MARCHÉ DYNAMIQUE DANS TOUTES LES CATÉGORIES. ATTENTION, PAS DE MARCHÉ POUR LES ANIMAUX POSITIFS FCO.;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIJON;MARCHÉ DYNAMIQUE DANS TOUTES LES CATÉGORIES. ATTENTION, PAS DE MARCHÉ POUR LES ANIMAUX POSITIFS FCO.;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIJON;MARCHÉ DYNAMIQUE DANS TOUTES LES CATÉGORIES. ATTENTION, PAS DE MARCHÉ POUR LES ANIMAUX POSITIFS FCO.;U;;;;;3,99;3,88;3,84;3,77;3,60;3,60;3,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIJON;MARCHÉ DYNAMIQUE DANS TOUTES LES CATÉGORIES. ATTENTION, PAS DE MARCHÉ POUR LES ANIMAUX POSITIFS FCO.;U;;;;;0,04;0,03;0,03;0;0,03;0,07;0,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIJON;MARCHÉ DYNAMIQUE DANS TOUTES LES CATÉGORIES. ATTENTION, PAS DE MARCHÉ POUR LES ANIMAUX POSITIFS FCO.;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIJON;MARCHÉ DYNAMIQUE DANS TOUTES LES CATÉGORIES. ATTENTION, PAS DE MARCHÉ POUR LES ANIMAUX POSITIFS FCO.;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIJON;MARCHÉ DYNAMIQUE DANS TOUTES LES CATÉGORIES. ATTENTION, PAS DE MARCHÉ POUR LES ANIMAUX POSITIFS FCO.;tonnage;;;;;300,00;350,00;400,00;450,00;500,00;270,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOULOUSE;VENTES FACILES MALGRÉ LES PERTURBATIONS LIÉES À LA MHE ET LA FCO.;E;4,20;4,10;4,00;3,65;;;;;;;;;3,85;;;;;;4,70;4,50;;;4,00;;;;;;;;;;;;;;;;
TOULOUSE;VENTES FACILES MALGRÉ LES PERTURBATIONS LIÉES À LA MHE ET LA FCO.;E;0,05;0,05;0,05;0,05;;;;;;;;;0,05;;;;;;0,10;0;;;0;;;;;;;;;;;;;;;;
TOULOUSE;VENTES FACILES MALGRÉ LES PERTURBATIONS LIÉES À LA MHE ET LA FCO.;U;4,00;3,95;3,90;3,55;;;;;;;;3,80;3,70;3,75;3,70;3,70;3,45;3,45;4,50;4,40;;;3,75;;;;;;;;;3,70;3,60;3,55;;;;;
TOULOUSE;VENTES FACILES MALGRÉ LES PERTURBATIONS LIÉES À LA MHE ET LA FCO.;U;0,05;0,05;0,05;0,05;;;;;;;;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,10;0,10;;;0,10;;;;;;;;;0,05;0,05;-0,05;;;;;
TOULOUSE;VENTES FACILES MALGRÉ LES PERTURBATIONS LIÉES À LA MHE ET LA FCO.;R;3,70;3,70;3,60;3,40;;;;;;;;3,55;3,50;3,55;3,50;3,50;3,10;3,20;3,70;3,55;;;3,40;;;;;;;;;3,50;3,45;3,45;;;;;
TOULOUSE;VENTES FACILES MALGRÉ LES PERTURBATIONS LIÉES À LA MHE ET LA FCO.;R;0,05;0,05;0,05;0,05;;;;;;;;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,10;0;;;0,05;;;;;;;;;0,05;0,05;0,05;;;;;
TOULOUSE;VENTES FACILES MALGRÉ LES PERTURBATIONS LIÉES À LA MHE ET LA FCO.;tonnage;250,00;300,00;350,00;270,00;;;;;;;;300,00;350,00;400,00;450,00;500,00;270,00;400,00;250,00;300,00;350,00;450,00;270,00;400,00;;;;;;;;300,00;350,00;400,00;450,00;500,00;270,00;400,00;
NANTES;PLUS D'OFFRE AVEC L'ÉLARGISSEMENT DES ZONES SANITAIRES. PLUS DE BESOINS DUS À UNE ACTIVITÉ RÉDUITE DEPUIS LA MI-AOÛT.;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NANTES;PLUS D'OFFRE AVEC L'ÉLARGISSEMENT DES ZONES SANITAIRES. PLUS DE BESOINS DUS À UNE ACTIVITÉ RÉDUITE DEPUIS LA MI-AOÛT.;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NANTES;PLUS D'OFFRE AVEC L'ÉLARGISSEMENT DES ZONES SANITAIRES. PLUS DE BESOINS DUS À UNE ACTIVITÉ RÉDUITE DEPUIS LA MI-AOÛT.;U;;4,00;3,85;;4,00;3,85;;;;;;;;;;;;;4,45;4,40;4,25;;;;;;;;;;;;;;;;;;
NANTES;PLUS D'OFFRE AVEC L'ÉLARGISSEMENT DES ZONES SANITAIRES. PLUS DE BESOINS DUS À UNE ACTIVITÉ RÉDUITE DEPUIS LA MI-AOÛT.;U;;0,05;0,05;;0,05;0,05;;;;;;;;;;;;;0,05;0,05;0,05;;;;;;;;;;;;;;;;;;
NANTES;PLUS D'OFFRE AVEC L'ÉLARGISSEMENT DES ZONES SANITAIRES. PLUS DE BESOINS DUS À UNE ACTIVITÉ RÉDUITE DEPUIS LA MI-AOÛT.;R;;3,45;;;3,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NANTES;PLUS D'OFFRE AVEC L'ÉLARGISSEMENT DES ZONES SANITAIRES. PLUS DE BESOINS DUS À UNE ACTIVITÉ RÉDUITE DEPUIS LA MI-AOÛT.;R;;0,05;;;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NANTES;PLUS D'OFFRE AVEC L'ÉLARGISSEMENT DES ZONES SANITAIRES. PLUS DE BESOINS DUS À UNE ACTIVITÉ RÉDUITE DEPUIS LA MI-AOÛT.;tonnage;250,00;300,00;350,00;270,00;300,00;350,00;400,00;450,00;500,00;270,00;400,00;300,00;350,00;400,00;450,00;500,00;270,00;400,00;250,00;300,00;350,00;450,00;270,00;400,00;;;;;;;;;;;;;;;
NANCY;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NANCY;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NANCY;;U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NANCY;;U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NANCY;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NANCY;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NANCY;;tonnage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOYENNE NATIONALE;;E;4,20;4,10;4,00;3,65;;;;;;;;;3,85;;;;;;4,70;4,50;;;4,00;;;;;;;;;;;;;;;;
MOYENNE NATIONALE;;E;0,05;0,05;0,05;0,05;;;;;;;;;0,05;;;;;;0,10;0;;;0;;;;;;;;;;;;;;;;
MOYENNE NATIONALE;;U;4,10;4,07;4,01;3,65;3,99;3,87;3,84;3,77;3,60;3,60;3,43;3,80;3,71;3,76;3,70;3,70;3,47;3,45;4,48;4,40;4,25;;3,75;;;;;;;;;3,70;3,65;3,61;;;;;
MOYENNE NATIONALE;;U;0,09;0,05;0,05;0,05;0,04;0,04;0,03;0;0,03;0,07;0,06;0,05;0,03;0,04;0,05;0,05;0,04;0,05;0,08;0,08;0,05;;0,10;;;;;;;;;0,05;0,04;-0,04;;;;;
MOYENNE NATIONALE;;R;3,71;3,67;3,66;3,38;3,45;;;;;;;3,55;3,52;3,57;3,50;3,50;3,17;3,20;3,70;3,55;;;3,40;;3,20;3,20;3,25;;;;;3,50;3,48;3,49;;;;;
MOYENNE NATIONALE;;R;0,09;0,05;0,05;0,05;0,05;;;;;;;0,05;0,03;0,03;0,05;0,05;0,04;0,05;0,10;0;;;0,05;;0;0;0;;;;;0,05;0,04;0,04;;;;;
MOYENNE NATIONALE;;tonnage;250,00;300,00;350,00;270,00;300,00;350,00;400,00;450,00;500,00;270,00;400,00;300,00;350,00;400,00;450,00;500,00;270,00;400,00;250,00;300,00;350,00;450,00;270,00;400,00;300,00;350,00;400,00;450,00;500,00;320,00;400,00;300,00;350,00;400,00;450,00;500,00;270,00;400,00;
