GROS BOVINS BIOS
COTATIONS COMMUNAUTAIRES DES GROS BOVINS ENTREE-ABATTOIR BIO
EN EURO
MOIS DE juillet 2026

EN EURO/KG NET, frais de transport inclus
;;;;ETATS D'ENGRAISSEMENT
;;;;2;3;4

1;1;MALES NON CASTRES DE MOINS DE 2 ANS;E;;;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
1;2;MALES NON CASTRES DE MOINS DE 2 ANS;U;;;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
1;3;MALES NON CASTRES DE MOINS DE 2 ANS;R;;;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
1;4;MALES NON CASTRES DE MOINS DE 2 ANS;O;;;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
1;5;MALES NON CASTRES DE MOINS DE 2 ANS;P;;;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
2;1;AUTRES MALES NON CASTRES;E;;;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
2;2;AUTRES MALES NON CASTRES;U;;;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
2;3;AUTRES MALES NON CASTRES;R;;;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
2;4;AUTRES MALES NON CASTRES;O;;;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
3;1;MALES CASTRES;E;;;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
3;2;MALES CASTRES;U;;;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
3;3;MALES CASTRES;R;;7,48;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
3;4;MALES CASTRES;O;;6,82;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
3;5;MALES CASTRES;P;;;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
4;1;FEMELLES AYANT DEJA VELE;E;;;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
4;2;FEMELLES AYANT DEJA VELE;U;;;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
4;3;FEMELLES AYANT DEJA VELE;R;7,30;7,55;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
4;4;FEMELLES AYANT DEJA VELE;O;;6,68;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
4;5;FEMELLES AYANT DEJA VELE;P;;6,30;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
5;1;AUTRES FEMELLES;E;;;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
5;2;AUTRES FEMELLES;U;;;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
5;3;AUTRES FEMELLES;R;;7,61;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.
5;4;AUTRES FEMELLES;O;;6,81;;Le prix moyen pondéré (PMP) des cotations GBEA BIO mensuelles est calculé à partir des effectifs réels abattus et cotés pendant le mois. La variation du PMP dépend donc de l’évolution des catégories d’animaux cotés et de l’évolution des effectifs de ces catégories.

Les prix sont en euro/kg carcasse, frais de transport inclus. Les différences de présentation des carcasses françaises et communautaires sont prises en compte dans l'établissement des prix.
