PETITS VEAUX
COTATION DES VEAUX DE 14 JOURS A 4 SEMAINES SUR LES MARCHES DE REFERENCE
EN EURO
SEMAINE N° 20 DU 13/05/2024 AU 19/05/2024

EN EURO/Tête
;RACES;SEXE;CONFORMATION;AGEN;ARMO;BOUR;CARE;CHAG;LAMB;LEZA;RETH;TALA;;MOYENNE NATIONALE;variation
;;;POIDS
VEAUX;RACES À VIANDE;MALE;E;505,00;;;;;;510,00;;;;508,57;0;;LIMOUSINS
VEAUX;Limousins;MALE;U;405,00;;;;;;430,00;;;;422,85;0;;LIMOUSINS
VEAUX;ou;MALE;R;235,00;;;;;;235,00;;;;235,00;0;;LIMOUSINS
VEAUX;Blonds;MALE;O;;;;;;;85,00;;;;85,00;0;;LIMOUSINS
VEAUX;;FEMELLE;E;395,00;;;;;;430,00;;;;420,29;0;;LIMOUSINS
VEAUX;;FEMELLE;U;300,00;;;;;;360,00;;;;343,36;0;;LIMOUSINS
VEAUX;;FEMELLE;R;160,00;;;;;;170,00;;;;167,23;0;;LIMOUSINS
VEAUX;;FEMELLE;O;;;;;;;60,00;;;;60,00;0;;LIMOUSINS
VEAUX;RACES À VIANDE;MALE;E;;;;;;;450,00;;;;450,00;0;;CHAROLAIS
VEAUX;Charolais;MALE;U;;;;;;;390,00;;;;390,00;0;;CHAROLAIS
VEAUX;ou;MALE;R;;;;;;;240,00;;;;240,00;0;;CHAROLAIS
VEAUX;Blanc Bleu;MALE;O;;;;;;;105,00;;;;105,00;0;;CHAROLAIS
VEAUX;;FEMELLE;E;;;;;;;385,00;;;;385,00;0;;CHAROLAIS
VEAUX;;FEMELLE;U;;;;;;;340,00;;;;340,00;0;;CHAROLAIS
VEAUX;;FEMELLE;R;;;;;;;190,00;;;;190,00;0;;CHAROLAIS
VEAUX;;FEMELLE;O;;;;;;;100,00;;;;100,00;0;;CHAROLAIS
VEAUX;CROISÉS;MALE;E;;;;;;;450,00;;;;450,00;0;;CROISE VIANDE
VEAUX;RACES À VIANDE;MALE;U;;;;;385,00;;380,00;;;;380,63;0;;CROISE VIANDE
VEAUX;Mère race à viande X;MALE;R;;;;;255,00;;240,00;;;;241,88;0;;CROISE VIANDE
VEAUX;mâle race à viande;MALE;O;;;;;175,00;;130,00;;;;135,63;0;;CROISE VIANDE
VEAUX;;FEMELLE;E;;;;;;;380,00;;;;380,00;0;;CROISE VIANDE
VEAUX;;FEMELLE;U;;;;;325,00;;330,00;;;;329,64;0;;CROISE VIANDE
VEAUX;;FEMELLE;R;;;;;215,00;;190,00;;;;191,79;0;;CROISE VIANDE
VEAUX;;FEMELLE;O;;;;;155,00;;110,00;;;;113,21;0;;CROISE VIANDE
VEAUX;CROISÉS MIXTES;MALE;U;355,00;;480,00;;385,00;;350,00;;530,00;;485,17;8,20;;CROISE MIXTE
VEAUX;Mère race mixte X;MALE;R;210,00;;355,00;;255,00;;250,00;;450,00;;385,70;8,20;;CROISE MIXTE
VEAUX;mâle race à viande;MALE;O;110,00;;250,00;;175,00;;130,00;;300,00;;256,60;8,20;;CROISE MIXTE
VEAUX;ou;MALE;P;;;;;;;;;;;;;;CROISE MIXTE
VEAUX;Mère race mixte X;FEMELLE;U;270,00;;385,00;;325,00;;320,00;;420,00;;387,56;2,49;;CROISE MIXTE
VEAUX;mâle race mixte;FEMELLE;R;155,00;;295,00;;215,00;;210,00;;350,00;;303,34;2,50;;CROISE MIXTE
VEAUX;;FEMELLE;O;100,00;;230,00;;155,00;;110,00;;230,00;;206,80;3,08;;CROISE MIXTE
VEAUX;;FEMELLE;P;;;;;;;;;;;;;;CROISE MIXTE
VEAUX;CROISÉS LAITIERS;MALE;R;200,00;420,00;;;240,00;407,00;220,00;275,00;350,00;;278,38;-3,01;;CROISE LAITIER
VEAUX;Mère race laitière X;MALE;O;95,00;370,00;;;155,00;235,00;120,00;225,00;260,00;;180,50;-2,38;;CROISE LAITIER
VEAUX;mâle race à viande;MALE;P;;;;;110,00;131,00;;;150,00;;125,55;9,94;;CROISE LAITIER
VEAUX;ou;FEMELLE;R;140,00;330,00;;;220,00;347,00;185,00;;280,00;;231,39;-0,14;;CROISE LAITIER
VEAUX;Mère race laitière X;FEMELLE;O;100,00;280,00;;;135,00;195,00;95,00;175,00;210,00;;145,53;-1,57;;CROISE LAITIER
VEAUX;mâle race mixte;FEMELLE;P;;;;;85,00;100,00;;;120,00;;96,30;6,73;;CROISE LAITIER
VEAUX;RACES MIXTES PURES;MALE;> 60 KG;;;305,00;;;;240,00;;300,00;;291,67;8,15;;MONTBELIARDS
VEAUX;Montbéliarde,;MALE;55 A 60 KG;;;270,00;;;;185,00;;;;248,74;7,50;;MONTBELIARDS
VEAUX;Abondance,;MALE;50 A 55 KG;;;205,00;;;;135,00;;210,00;;193,34;5,54;;MONTBELIARDS
VEAUX;Tarentaise;MALE;45 A 50 KG;;;150,00;;;;85,00;;150,00;;137,97;8,15;;MONTBELIARDS
VEAUX;;MALE;< 45 KG;;;85,00;;;;;;;;85,00;10,00;;MONTBELIARDS
VEAUX;RACES MIXTES PURES;MALE;> 60 KG;;;;;180,00;;190,00;;;;186,61;0;;NORMANDS
VEAUX;Normande;MALE;55 A 60 KG;;;;;140,00;;145,00;;;;143,30;0;;NORMANDS
VEAUX;;MALE;50 A 55 KG;;;;;120,00;;110,00;;;;113,39;0;;NORMANDS
VEAUX;;MALE;45 A 50 KG;;;;;105,00;;80,00;;;;88,48;0;;NORMANDS
VEAUX;;MALE;< 45 KG;;;;;85,00;;;;;;85,00;0;;NORMANDS
VEAUX;RACES LAITIÈRES;MALE;> 55 KG;165,00;180,00;175,00;;180,00;212,00;180,00;165,00;160,00;;179,93;3,35;;LAITIER
VEAUX;Prim'Holstein;MALE;50 A 55 KG;130,00;170,00;150,00;;140,00;173,00;140,00;150,00;140,00;;145,49;2,76;;LAITIER
VEAUX;;MALE;45 A 50 KG;;150,00;120,00;;120,00;149,00;120,00;130,00;;;125,22;1,53;;LAITIER
VEAUX;;MALE;40 A 45 KG;;120,00;80,00;;85,00;116,00;80,00;95,00;100,00;;88,46;0,59;;LAITIER
VEAUX;;MALE;< 40 KG;;;;;60,00;42,00;;;;;55,16;-2,42;;LAITIER
